Final Price/Ounce,Final Price (max),Discount,Alt Price/Ounce,Alt Price (min),Strike Price,List Price,Product Name,Grams of Sugar,Grams of Protein,Grams of Fat,Calories,Number in Package,Ounces
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Low-Fat Mango - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,2.5,13,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Raspberry - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,0,12,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Low-Fat Blackberry - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,0,12,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Grk Ygrt Vanilla Chocolate Chunk - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,6,17,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Low-Fat Strawberry Banana - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,2.5,13,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Blueberry - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,0,11,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Strawberry - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,0,11,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Peach - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,0,11,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Low-Fat Pineapple - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,2.5,13,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Blended Non-Fat Lemon - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,4.5,15,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Strawberry Rhubarb - 5.3 Oz Get started today - enroll in Box Tops for Education,14,1,2.5,13,0,5.3
